adim,bdim,cdim,condim,type,dtype,label
"(20,20,20)","(20,20,20)","(20,20)","([1,2], [0,1])",abc * bcd -> ad,float32,abc * bcd -> ad-fp32
"(20,20,20)","(20,20,20)","(20,20,20,20)","([-1], [0])",abc * cde -> abde,float32,abc * bcd -> ad-fp32
"(20,20,20)","(20,20,20)","(20,20,20,20)","([0], [-1])",abc * ade -> bcde,float32,abc * ade -> bcde-fp32
"(40,40,40)","(40,40,40)","(40,40)","([1,2], [0,1])",abc * bcd -> ad,float32,abc * bcd -> ad-fp32
"(40,40,40)","(40,40,40)","(40,40,40,40)","([-1], [0])",abc * cde -> abde,float32,abc * bcd -> ad-fp32
"(40,40,40)","(40,40,40)","(40,40,40,40)","([0], [-1])",abc * ade -> bcde,float32,abc * ade -> bcde-fp32
"(60,60,60)","(60,60,60)","(60,60)","([1,2], [0,1])",abc * bcd -> ad,float32,abc * bcd -> ad-fp32
"(60,60,60)","(60,60,60)","(60,60,60,60)","([-1], [0])",abc * cde -> abde,float32,abc * bcd -> ad-fp32
"(60,60,60)","(60,60,60)","(60,60,60,60)","([0], [-1])",abc * ade -> bcde,float32,abc * ade -> bcde-fp32
"(80,80,80)","(80,80,80)","(80,80)","([1,2], [0,1])",abc * bcd -> ad,float32,abc * bcd -> ad-fp32
"(80,80,80)","(80,80,80)","(80,80,80,80)","([-1], [0])",abc * cde -> abde,float32,abc * bcd -> ad-fp32
"(80,80,80)","(80,80,80)","(80,80,80,80)","([0], [-1])",abc * ade -> bcde,float32,abc * ade -> bcde-fp32
