adim,bdim,cdim,condim,type,dtype,label
"(12, 20)","(20, 8, 20)","(12, 8, 20)","([-1], [0])",ab * bcd -> acd,float32,ab * bcd -> acd-fp32
"(12, 20)","(20, 8, 20)","(12, 8, 20)","([-1], [0])",ab * bcd -> acd,float16,ab * bcd -> acd-fp16
"(120, 200)","(200, 80, 200)","(120, 80, 200)","([-1], [0])",ab * bcd -> acd,float32,ab * bcd -> acd-fp32
"(120, 200)","(200, 80, 200)","(120, 80, 200)","([-1], [0])",ab * bcd -> acd,float16,ab * bcd -> acd-fp16
"(1200, 2000)","(2000, 800, 2000)","(1200, 800, 2000)","([-1], [0])",ab * bcd -> acd,float32,ab * bcd -> acd-fp32
"(1200, 2000)","(2000, 800, 2000)","(1200, 800, 2000)","([-1], [0])",ab * bcd -> acd,float16,ab * bcd -> acd-fp16
"(1200, 200)","(200, 800, 200)","(1200, 800, 200)","([-1], [0])",ab * bcd -> acd,float32,ab * bcd -> acd-fp32
"(1200, 200)","(200, 800, 200)","(1200, 800, 200)","([-1], [0])",ab * bcd -> acd,float16,ab * bcd -> acd-fp16
"(12, 8, 20)","(20, 8, 20)","(12, 8, 8, 20)","([-1], [0])",abc * cde -> abde,float32,abc * cde -> abde-fp32
"(12, 8, 20)","(20, 8, 20)","(12, 8, 8, 20)","([-1], [0])",abc * cde -> abde,float16,abc * cde -> abde-fp16
"(120, 80, 200)","(200, 80, 200)","(120, 80, 80, 200)","([-1], [0])",abc * cde -> abde,float32,abc * cde -> abde-fp32
"(120, 80, 200)","(200, 80, 200)","(120, 80, 80, 200)","([-1], [0])",abc * cde -> abde,float16,abc * cde -> abde-fp16
